puuid,leaguePoints,wins,losses,tier
if2xatZKg2v5uRTkg4AKQyfgulAUzTUr-71qGueY3PNwafoszofUVw6CgMDmFxXi2UDI5UNO_5BJ1w,1181,209,129,CHALLENGER
s_XwGE-MUIpwOWYBlQ8gQ_3_PSwk9DulnAhWE_rOPqgaYKnlLyfIIDiba0Tog8-vSvN8A-fmQwo2Wg,1181,114,54,CHALLENGER
WCuQEZ-DjMtScWf04aH0X91qxQiI0ZFItDso7DjXnDfzORUDebIokIgITjJ4ywiX8u_myfgzGnGl3A,1179,384,337,CHALLENGER
tj69G48IqWXCr8dbp-4796B8Oua0GDQZyAYGk7LH_YNFITlT3JVG8zG0B62aUNyx8dsEq2IfvvNBtw,1179,531,423,CHALLENGER
EPV8jEYSycwGR4l2qGPSLDlBi8G5lR99_-p_7h4bccsnTnuAPRCbkQt-1iDGVE4rZHR7bpOaQbJ-nw,1177,194,156,CHALLENGER
_3tB7KdCFP5P6lwvCavB4R3kmpcQMnAOa-gueB63OamEWx2wBDrPkX2NqD46oWxy59PHtRcXdToysw,1177,265,204,CHALLENGER
HwtgRnkth-VwhXmICCmA8Lg_G-Y-o1vsUmUXGoPvtnk7NsBGo1dYG9s-Lxv8FInsSVPprGKysJYe2w,1176,265,189,CHALLENGER
z11pQIYzQoYfinFCPwvTtHhueMDNBgW0OrKvNC5HZeLrJMbK8LUUIYRbnX8w1rIpjPFMfIe0HrH7OQ,1174,238,194,CHALLENGER
W3dRWPbTBvUtMk8z3dS9FMTTuQO6pYoefg1NgI288BXBKWDKEG9HidbY5HVEae5SDjLfSRvurD_uxA,1171,188,146,CHALLENGER
7xNt7bOHXf4IHHM306s9woMm9ae_sJa3USqOSFxu03w3gjy7Baz01kIUa01uhzprVvdlvqG4eE9DkQ,1169,311,232,CHALLENGER
duX94UX-Bg5l4nQczCgFOCXCMIkW6xlf9KQPD-mosJwCbsthMVQyQDdGk1jqG0MvxfS_JHfbBbPSOA,1167,325,278,CHALLENGER
3sfqVdojbHNY_i1nX6kSBArko1QPBFQ2B0BsvzZ4d_0dUd62URc1SdUqQcBDyNWhM6R0FpIOnhaNUw,1166,263,211,CHALLENGER
BvDV8_26rWkIrKMrRVroW30JeREXCNxCoTZDWG17V2o0I8B5CVPQmmPqDKKeeWqPYUPp9r_np9IW7g,1166,605,513,CHALLENGER
DazyOIKxlLtRllv4aVl1Duh9mWHsq-scogx8IDX9-opJ0mEC185bqCavn4fYWJvjPRRityLKicfqAg,1165,718,564,CHALLENGER
_rgz9_myyAAOxIAmg-roEaBOyHAWiP2dZxajCcqOrxTt8LxKU35qwFFM1B3ywOpQVlWf-o73AQjEvQ,1161,270,182,CHALLENGER
qATGNRkeFY6thvAzoQEoCzS3oiuggMGgy9V_AmT5moQ9B95t9PFjt7_-v27lMFiOyPx2DgXR5Xe5WA,1160,434,384,CHALLENGER
DVZeCBhIaSCcL-bbVCrw6gmULSJsZ_chwzF2ax9khLfqMvI-bwKU0FD2tAdlTEY8ftgiMdyTLLsfUQ,1158,258,212,CHALLENGER
RWnuPxXceYsBPOFzTzy9XUeg81WuoaB_M2OP04T9OcG4ap7dVakUO_Sqe6M1oWwI3qU2UDpxOq7crw,1158,427,361,CHALLENGER
4XL5usxLauhG5kMf_WuoOlfFPABOdly1lVyt0RjfZJLLSC8zPc6SrKAu87p4CANbY5JIoLEvsnZpSw,1158,170,125,CHALLENGER
xjYSR0L4zu4PfOF-IIHuSdXGrOrUXQ-tffcFoI4LrfGwGIFfhAWAyhIDO6bh9ICZhkLpwwYytZ3LzQ,1156,272,208,CHALLENGER
5TJz_pw3cgULf5RSXn6pTVjcofNb6rHUNTQ2-5RJ8FCPmzOH1GHj-6HFXhayd2P5J7e1bhT0ZOkPrg,1155,279,237,CHALLENGER
kLWpSrSE9UT1thnbOJ90dagBWIFgs6asgU-MOz7PzeF2o96jQnFzrds0QHtOm3qmkfe8sc4aGabATA,1152,586,474,CHALLENGER
gNDtNe1_numA0BtpZxoWVSvfwD-sf1NcctF8Ezl_BcQoBS4zIW5Jw3pg6hafAqdOXReJ4EKdzFEoDg,1152,414,336,CHALLENGER
